	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM-388-A01_contigs_AM-388-A01_NODE_16_1	AM-388-A01_contigs	AM-388-A01_NODE_16	1	2	562	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_16_2	AM-388-A01_contigs	AM-388-A01_NODE_16	2	483	3425	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_16_3	AM-388-A01_contigs	AM-388-A01_NODE_16	3	3503	5836	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_16_4	AM-388-A01_contigs	AM-388-A01_NODE_16	4	5973	7172	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_16_5	AM-388-A01_contigs	AM-388-A01_NODE_16	5	7169	7882	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_16_6	AM-388-A01_contigs	AM-388-A01_NODE_16	6	7879	8586	1	D										ABC transporter [PF00005.30]					0
AM-388-A01_contigs_AM-388-A01_NODE_16_7	AM-388-A01_contigs	AM-388-A01_NODE_16	7	8567	11674	-1	E															1
AM-388-A01_contigs_AM-388-A01_NODE_17_1	AM-388-A01_contigs	AM-388-A01_NODE_17	1	1	423	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_17_2	AM-388-A01_contigs	AM-388-A01_NODE_17	2	423	1310	-1	C	K03274	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]								GDP-mannose 4,6 dehydratase [PF16363.8]; NAD dependent epimerase/dehydratase family [PF01370.24]; RmlD substrate binding domain [PF04321.20]; 3-beta hydroxysteroid dehydrogenase/isomerase family [PF01073.22]; Male sterility protein [PF07993.15]; Polysaccharide biosynthesis protein [PF02719.18]; NAD(P)H-binding [PF13460.9]; NmrA-like family [PF05368.16]					0
AM-388-A01_contigs_AM-388-A01_NODE_17_3	AM-388-A01_contigs	AM-388-A01_NODE_17	3	1307	1873	-1	C	K03271	D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]								SIS domain [PF13580.9]; SIS domain [PF01380.25]					0
AM-388-A01_contigs_AM-388-A01_NODE_17_4	AM-388-A01_contigs	AM-388-A01_NODE_17	4	2019	2756	1	D										Nucleotidyl transferase [PF00483.26]					0
AM-388-A01_contigs_AM-388-A01_NODE_17_5	AM-388-A01_contigs	AM-388-A01_NODE_17	5	2770	3462	-1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT81; GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-); GT81 NDP-Glc: glucosyl-3-phosphoglycerate synthase (EC 2.4.1.266); NDP-Man: mannosyl-3-phosphoglycerate synthase (EC 2.4.1.217);	2.4.1.217,2.4.1.266,2.4.1.270,2.4.1.-	GT2_Glycos_transf_2.hmm	0
AM-388-A01_contigs_AM-388-A01_NODE_17_6	AM-388-A01_contigs	AM-388-A01_NODE_17	6	3523	4656	-1	D										Glycosyltransferase family 9 (heptosyltransferase) [PF01075.20]	GT9	GT9 lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); heptosyltransferase (EC 2.4.-.-).	2.4.1.56,2.4.99.-	GT9.hmm	0
AM-388-A01_contigs_AM-388-A01_NODE_17_7	AM-388-A01_contigs	AM-388-A01_NODE_17	7	4693	5016	-1	D										Uncharacterized conserved protein (DUF2304) [PF10066.12]					0
AM-388-A01_contigs_AM-388-A01_NODE_17_8	AM-388-A01_contigs	AM-388-A01_NODE_17	8	5033	5695	-1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyltransferase like family 2 [PF13641.9]	GT2_Glycos_transf_2	GT2 cellulose synthase (EC 2.4.1.12); chitin synthase (EC 2.4.1.16); dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83); dolichyl-phosphate beta-glucosyltransferase (EC 2.4.1.117); N-acetylglucosaminyltransferase (EC 2.4.1.-); N-acetylgalactosaminyltransferase (EC 2.4.1.-); hyaluronan synthase (EC 2.4.1.212); chitin oligosaccharide synthase (EC 2.4.1.-); beta-1,3-glucan synthase (EC 2.4.1.34); beta-1,4-mannan synthase (EC 2.4.1.-); beta-mannosylphosphodecaprenol-mannooligosaccharide alpha-1,6-mannosyltransferase (EC 2.4.1.199); UDP-Galf: rhamnopyranosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,4/1,5-galactofuranosyltransferase (EC 2.4.1.287); UDP-Galf: galactofuranosyl-galactofuranosyl-rhamnosyl-N-acetylglucosaminyl-PP-decaprenol beta-1,5/1,6-galactofuranosyltransferase (EC 2.4.1.288); dTDP-L-Rha: N-acetylglucosaminyl-PP-decaprenol alpha-1,3-L-rhamnosyltransferase (EC 2.4.1.289); alternating beta-1,3/4-N-acetylmannan synthase (2.4.1.-); UDP-GlcA: N-acetylglucosaminyl-proteoglycan beta-1,4-glucuronosyltransferase (EC 2.4.1.225); [inverting] UDP-Glc: glycocin S-beta-glucosyltransferase (EC 2.4.1.-); [inverting] UDP-Glc: protein O-beta-glucosyltransferase (EC 2.4.1.-)		GT2_Glycos_transf_2.hmm	0
AM-388-A01_contigs_AM-388-A01_NODE_17_9	AM-388-A01_contigs	AM-388-A01_NODE_17	9	5702	9109	-1	C	K21306	dolichyl-phosphooligosaccharide-protein glycotransferase [EC:2.4.99.21]								Oligosaccharyl transferase STT3 subunit [PF02516.17]	GT66	GT66 dolichyl-diphosphooligosaccharideâ€”protein glycotransferase (EC 2.4.99.18); undecaprenyl-diphosphooligosaccharideâ€”protein glycotransferase (EC 2.4.99.19)	2.4.1.119,2.4.99.18,2.4.99.19	GT66.hmm	0
AM-388-A01_contigs_AM-388-A01_NODE_17_10	AM-388-A01_contigs	AM-388-A01_NODE_17	10	9165	10265	-1	C	K17830	digeranylgeranylglycerophospholipid reductase [EC:1.3.1.101 1.3.7.11]								FAD binding domain [PF01494.22]; Lycopene cyclase protein [PF05834.15]; NAD(P)-binding Rossmann-like domain [PF13450.9]; HI0933-like protein [PF03486.17]; Flavin-binding monooxygenase-like [PF00743.22]; FAD dependent oxidoreductase [PF01266.27]					0
AM-388-A01_contigs_AM-388-A01_NODE_17_11	AM-388-A01_contigs	AM-388-A01_NODE_17	11	10417	11307	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_1	AM-388-A01_contigs	AM-388-A01_NODE_18	1	3	1265	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_2	AM-388-A01_contigs	AM-388-A01_NODE_18	2	1267	2202	-1	D										Radical SAM superfamily [PF04055.24]; 4Fe-4S single cluster domain [PF13353.9]; 4Fe-4S single cluster domain [PF13394.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_18_3	AM-388-A01_contigs	AM-388-A01_NODE_18	3	2310	2651	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_4	AM-388-A01_contigs	AM-388-A01_NODE_18	4	2723	2851	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_5	AM-388-A01_contigs	AM-388-A01_NODE_18	5	2864	3751	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_6	AM-388-A01_contigs	AM-388-A01_NODE_18	6	3846	5051	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_7	AM-388-A01_contigs	AM-388-A01_NODE_18	7	5098	5313	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_8	AM-388-A01_contigs	AM-388-A01_NODE_18	8	5359	5817	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_9	AM-388-A01_contigs	AM-388-A01_NODE_18	9	5850	6596	1	C	K06869	uncharacterized protein								PAC2 family [PF09754.12]					0
AM-388-A01_contigs_AM-388-A01_NODE_18_10	AM-388-A01_contigs	AM-388-A01_NODE_18	10	6653	6781	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_11	AM-388-A01_contigs	AM-388-A01_NODE_18	11	6839	7654	-1	C	K08482	circadian clock protein KaiC								KaiC [PF06745.16]; DnaB-like helicase C terminal domain [PF03796.18]; AAA domain [PF13481.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_18_12	AM-388-A01_contigs	AM-388-A01_NODE_18	12	8490	8909	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_13	AM-388-A01_contigs	AM-388-A01_NODE_18	13	8948	9361	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_18_14	AM-388-A01_contigs	AM-388-A01_NODE_18	14	9611	10480	1	D										Phage integrase family [PF00589.25]; Phage integrase, N-terminal SAM-like domain [PF13495.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_18_15	AM-388-A01_contigs	AM-388-A01_NODE_18	15	10540	10833	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_19_1	AM-388-A01_contigs	AM-388-A01_NODE_19	1	1	906	-1	D										DEAD/DEAH box helicase [PF00270.32]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_2	AM-388-A01_contigs	AM-388-A01_NODE_19	2	1105	2142	-1	C	K01920	glutathione synthase [EC:6.3.2.3]								Prokaryotic glutathione synthetase, ATP-grasp domain [PF02955.19]; Prokaryotic glutathione synthetase, N-terminal domain [PF02951.17]; RimK-like ATP-grasp domain [PF08443.14]; YheC/D like ATP-grasp [PF14398.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_3	AM-388-A01_contigs	AM-388-A01_NODE_19	3	2147	3223	-1	D										Domain of unknown function (DUF1704) [PF08014.14]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_4	AM-388-A01_contigs	AM-388-A01_NODE_19	4	3385	3786	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_19_5	AM-388-A01_contigs	AM-388-A01_NODE_19	5	3900	4061	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_19_6	AM-388-A01_contigs	AM-388-A01_NODE_19	6	4188	4730	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_19_7	AM-388-A01_contigs	AM-388-A01_NODE_19	7	4732	5547	-1	C	K03442	small conductance mechanosensitive channel								Mechanosensitive ion channel [PF00924.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_8	AM-388-A01_contigs	AM-388-A01_NODE_19	8	5661	5879	1	D										Predicted membrane protein (DUF2061) [PF09834.12]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_9	AM-388-A01_contigs	AM-388-A01_NODE_19	9	5876	6499	1	D										Glycosyl transferase family 2 [PF00535.29]; Glycosyl transferase family 2 [PF13704.9]; Glycosyltransferase like family 2 [PF13641.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_10	AM-388-A01_contigs	AM-388-A01_NODE_19	10	6483	6761	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_19_11	AM-388-A01_contigs	AM-388-A01_NODE_19	11	6833	7714	1	D			MER0042257	M24A	MER0042257 - subfamily M24A unassigned peptidases (Protochlamydia amoebophila) [M24.UPA]#M24A#{peptidase unit: 1-298}~source YP_007545-1~	False	0.468	241.0	1.108e-69	Metallopeptidase family M24 [PF00557.27]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_12	AM-388-A01_contigs	AM-388-A01_NODE_19	12	7874	9112	-1	C	K01892	histidyl-tRNA synthetase [EC:6.1.1.21]								Histidyl-tRNA synthetase [PF13393.9]; Anticodon binding domain [PF03129.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_19_13	AM-388-A01_contigs	AM-388-A01_NODE_19	13	9155	9505	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_2_1	AM-388-A01_contigs	AM-388-A01_NODE_2	1	235	1158	1	D										SecY [PF00344.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_2	AM-388-A01_contigs	AM-388-A01_NODE_2	2	1163	1918	1	D										Integral membrane protein EMC3/TMCO1-like [PF01956.19]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_3	AM-388-A01_contigs	AM-388-A01_NODE_2	3	1978	2250	1	C	K02915	large subunit ribosomal protein L34e								Ribosomal protein L34e [PF01199.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_4	AM-388-A01_contigs	AM-388-A01_NODE_2	4	2290	2754	1	C	K02875	large subunit ribosomal protein L14e													0
AM-388-A01_contigs_AM-388-A01_NODE_2_5	AM-388-A01_contigs	AM-388-A01_NODE_2	5	2833	3513	1	C	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]								RNA pseudouridylate synthase [PF00849.25]; S4 domain [PF01479.28]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_6	AM-388-A01_contigs	AM-388-A01_NODE_2	6	3620	4051	1	D										FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.31]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_7	AM-388-A01_contigs	AM-388-A01_NODE_2	7	4095	4382	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_2_8	AM-388-A01_contigs	AM-388-A01_NODE_2	8	4475	6121	-1	C	K01890	phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]								Phenylalanyl tRNA synthetase beta chain CLM domain [PF17759.4]; tRNA synthetase B5 domain [PF03484.18]; B3/4 domain [PF03483.20]; Phe-tRNA synthetase beta subunit B1 domain [PF18262.4]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_9	AM-388-A01_contigs	AM-388-A01_NODE_2	9	6137	6685	-1	D										LUD domain [PF02589.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_10	AM-388-A01_contigs	AM-388-A01_NODE_2	10	6706	7773	-1	C	K01626	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]								DAHP synthetase I family [PF00793.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_11	AM-388-A01_contigs	AM-388-A01_NODE_2	11	7761	9290	-1	C	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]								tRNA synthetases class II core domain (F) [PF01409.23]; tRNA synthetase class II core domain (G, H, P, S and T) [PF00587.28]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_12	AM-388-A01_contigs	AM-388-A01_NODE_2	12	9292	10101	-1	C	K04518	prephenate dehydratase [EC:4.2.1.51]								Prephenate dehydratase [PF00800.21]; ACT domain [PF01842.28]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_13	AM-388-A01_contigs	AM-388-A01_NODE_2	13	10098	10547	-1	D										Prephenate dehydrogenase, dimerization domain [PF20463.1]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_14	AM-388-A01_contigs	AM-388-A01_NODE_2	14	10510	10962	-1	D										Prephenate dehydrogenase, nucleotide-binding domain [PF02153.20]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_15	AM-388-A01_contigs	AM-388-A01_NODE_2	15	11003	12160	-1	C	K01736	chorismate synthase [EC:4.2.3.5]								Chorismate synthase [PF01264.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_16	AM-388-A01_contigs	AM-388-A01_NODE_2	16	12166	13452	-1	C	K00800	3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]								EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase) [PF00275.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_17	AM-388-A01_contigs	AM-388-A01_NODE_2	17	13449	14939	-1	C	K13832	3-dehydroquinate dehydratase / shikimate dehydrogenase [EC:4.2.1.10 1.1.1.25]								Type I 3-dehydroquinase [PF01487.18]; Shikimate dehydrogenase substrate binding domain [PF08501.14]; Shikimate / quinate 5-dehydrogenase [PF01488.23]; Shikimate 5'-dehydrogenase C-terminal domain [PF18317.4]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_18	AM-388-A01_contigs	AM-388-A01_NODE_2	18	14936	16039	-1	C	K01735	3-dehydroquinate synthase [EC:4.2.3.4]								3-dehydroquinate synthase [PF01761.23]; Iron-containing alcohol dehydrogenase [PF13685.9]; Iron-containing alcohol dehydrogenase [PF00465.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_19	AM-388-A01_contigs	AM-388-A01_NODE_2	19	16023	17036	-1	C	K03856	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]								DAHP synthetase I family [PF00793.23]; DAHP synthase ferredoxin-like domain [PF18152.4]; NeuB family [PF03102.17]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_20	AM-388-A01_contigs	AM-388-A01_NODE_2	20	17244	18056	-1	C	K23356	HTH-type transcriptional regulator, sugar sensing transcriptional regulator								Sugar-specific transcriptional regulator TrmB [PF01978.22]; Archaeal transcriptional regulator TrmB [PF11495.11]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_21	AM-388-A01_contigs	AM-388-A01_NODE_2	21	18285	20237	-1	C	K15987	K(+)-stimulated pyrophosphate-energized sodium pump [EC:7.2.3.1]								Inorganic H+ pyrophosphatase [PF03030.19]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_22	AM-388-A01_contigs	AM-388-A01_NODE_2	22	20368	21579	1	C	K08177	MFS transporter, OFA family, oxalate/formate antiporter								Major Facilitator Superfamily [PF07690.19]; Nodulin-like [PF06813.16]; Uncharacterised MFS-type transporter YbfB [PF06779.17]; MFS/sugar transport protein [PF13347.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_23	AM-388-A01_contigs	AM-388-A01_NODE_2	23	21621	24302	-1	C	K09181	acetyltransferase								ATP-grasp domain [PF13549.9]; Ligase-CoA domain [PF19045.3]; Succinyl-CoA ligase like flavodoxin domain [PF13607.9]; CoA binding domain [PF13380.9]; Acetyltransferase (GNAT) domain [PF13302.10]; Acetyltransferase (GNAT) domain [PF13420.10]; Acetyltransferase (GNAT) family [PF00583.28]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_24	AM-388-A01_contigs	AM-388-A01_NODE_2	24	24392	25357	-1	D										Histone deacetylase domain [PF00850.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_25	AM-388-A01_contigs	AM-388-A01_NODE_2	25	25393	25935	-1	D										Isochorismatase family [PF00857.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_26	AM-388-A01_contigs	AM-388-A01_NODE_2	26	25973	27937	-1	C	K01895	acetyl-CoA synthetase [EC:6.2.1.1]								AMP-binding enzyme [PF00501.31]; Acetyl-coenzyme A synthetase N-terminus [PF16177.8]; AMP-binding enzyme C-terminal domain [PF13193.9]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_27	AM-388-A01_contigs	AM-388-A01_NODE_2	27	28011	29075	-1	C	K06965	protein pelota								eRF1 domain 1 [PF03463.18]; eRF1 domain 3 [PF03465.18]; eRF1 domain 2 [PF03464.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_2_28	AM-388-A01_contigs	AM-388-A01_NODE_2	28	29177	29590	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_20_1	AM-388-A01_contigs	AM-388-A01_NODE_20	1	1	669	1	D										EamA-like transporter family [PF00892.23]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_2	AM-388-A01_contigs	AM-388-A01_NODE_20	2	666	1151	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_20_3	AM-388-A01_contigs	AM-388-A01_NODE_20	3	1144	1359	-1	C	K04653	hydrogenase expression/formation protein HypC								HupF/HypC family [PF01455.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_4	AM-388-A01_contigs	AM-388-A01_NODE_20	4	1361	1681	-1	C	K04651	hydrogenase nickel incorporation protein HypA/HybF								Hydrogenase/urease nickel incorporation, metallochaperone, hypA [PF01155.22]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_5	AM-388-A01_contigs	AM-388-A01_NODE_20	5	1700	2053	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_20_6	AM-388-A01_contigs	AM-388-A01_NODE_20	6	2311	2904	1	D										Protein of unknown function (DUF559) [PF04480.15]; REase_MTES_1575 [PF18741.4]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_7	AM-388-A01_contigs	AM-388-A01_NODE_20	7	2963	3277	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_20_8	AM-388-A01_contigs	AM-388-A01_NODE_20	8	3270	3971	-1	D										Orotidine 5'-phosphate decarboxylase / HUMPS family [PF00215.27]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_9	AM-388-A01_contigs	AM-388-A01_NODE_20	9	3964	4587	-1	C	K00762	orotate phosphoribosyltransferase [EC:2.4.2.10]								Phosphoribosyl transferase domain [PF00156.30]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_10	AM-388-A01_contigs	AM-388-A01_NODE_20	10	4584	5771	-1	C	K01465	dihydroorotase [EC:3.5.2.3]	MER0133579	M38	MER0133579 - family M38 non-peptidase homologues (Sebaldella termitidis) [M38.UNW]#M38#{peptidase unit: 1-381}~source GEBA2500691210~	False	0.491	345.0	9.773000000000001e-104	Amidohydrolase family [PF01979.23]; Amidohydrolase family [PF07969.14]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_11	AM-388-A01_contigs	AM-388-A01_NODE_20	11	5768	6568	-1	D										Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B [PF10418.12]; Oxidoreductase FAD-binding domain [PF00970.27]; Oxidoreductase NAD-binding domain [PF00175.24]; FAD-binding domain [PF08022.15]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_12	AM-388-A01_contigs	AM-388-A01_NODE_20	12	6558	7031	-1	D										STAS domain [PF01740.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_13	AM-388-A01_contigs	AM-388-A01_NODE_20	13	7021	7914	-1	C	K17828	dihydroorotate dehydrogenase (NAD+) catalytic subunit [EC:1.3.1.14]								Dihydroorotate dehydrogenase [PF01180.24]; Dihydrouridine synthase (Dus) [PF01207.20]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_14	AM-388-A01_contigs	AM-388-A01_NODE_20	14	7928	8380	-1	C	K00610	aspartate carbamoyltransferase regulatory subunit								Aspartate carbamoyltransferase regulatory chain, allosteric domain [PF01948.21]; Aspartate carbamoyltransferase regulatory chain, metal binding domain [PF02748.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_20_15	AM-388-A01_contigs	AM-388-A01_NODE_20	15	8382	9185	-1	C	K00609	aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]								Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain [PF00185.27]; Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding domain [PF02729.24]					0
AM-388-A01_contigs_AM-388-A01_NODE_21_1	AM-388-A01_contigs	AM-388-A01_NODE_21	1	3	1241	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_21_2	AM-388-A01_contigs	AM-388-A01_NODE_21	2	1472	2065	1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_21_3	AM-388-A01_contigs	AM-388-A01_NODE_21	3	2169	2618	-1	E															0
AM-388-A01_contigs_AM-388-A01_NODE_21_4	AM-388-A01_contigs	AM-388-A01_NODE_21	4	2695	3474	1	C	K13292	phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]								Prolipoprotein diacylglyceryl transferase [PF01790.21]					0
AM-388-A01_contigs_AM-388-A01_NODE_21_5	AM-388-A01_contigs	AM-388-A01_NODE_21	5	3627	4370	-1	C	K04802	proliferating cell nuclear antigen								Proliferating cell nuclear antigen, N-terminal domain [PF00705.21]; Proliferating cell nuclear antigen, C-terminal domain [PF02747.18]					0
AM-388-A01_contigs_AM-388-A01_NODE_21_6	AM-388-A01_contigs	AM-388-A01_NODE_21	6	4494	5825	-1	C	K12574	ribonuclease J [EC:3.1.-.-]								Beta-lactamase superfamily domain [PF12706.10]; Zn-dependent metallo-hydrolase RNA specificity domain [PF07521.15]					0
